"Vannlokalitet_kode","Parameter_id","Parameter_navn","Tid_provetak","Tid_provetak2","Verdi","Enhet","Tid_provetakx","Date","month","year","day"
"079-58883","Ca","Kalsium","09.03.2020 00:00",NA,1.24,"mg/l","09.03.2020"," 09.03.2020","03","2020","09"
"079-58883","Ca","Kalsium","28.12.2011 00:00",NA,1.26,"mg/l","28.12.2011"," 28.12.2011","12","2011","28"
"079-58883","Ca","Kalsium","29.02.2012 00:00",NA,1.27,"mg/l","29.02.2012"," 29.02.2012","02","2012","29"
"079-58883","Ca","Kalsium","22.03.2010 00:00",NA,1.29,"mg/l","22.03.2010"," 22.03.2010","03","2010","22"
"079-58883","SO4","Sulfat","03.10.2021 00:00",NA,1.29,"mg/l","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","Cl","Klorid","06.06.2021 00:00",NA,1.3,"mg/l","06.06.2021"," 06.06.2021","06","2021","06"
"079-58883","TOC","Totalt organisk karbon (TOC)","01.11.2020 00:00",NA,1.3,"mg/l C","01.11.2020"," 01.11.2020","11","2020","01"
"079-58883","Ca",NA,NA,"20.04.2022",1.3,"mg/L",NA,"20.04.2022 ","04","2022","20"
"079-58883","TOC",NA,NA,"27.04.2022",1.3,"mg/L",NA,"27.04.2022 ","04","2022","27"
"079-58883","Ca","Kalsium","01.08.2016 00:00",NA,1.31,"mg/l","01.08.2016"," 01.08.2016","08","2016","01"
"079-58883","Ca","Kalsium","01.04.2019 00:00",NA,1.32,"mg/l","01.04.2019"," 01.04.2019","04","2019","01"
"079-58883","Ca","Kalsium","25.03.2019 00:00",NA,1.32,"mg/l","25.03.2019"," 25.03.2019","03","2019","25"
"079-58883","Ca","Kalsium","02.01.2017 00:00",NA,1.33,"mg/l","02.01.2017"," 02.01.2017","01","2017","02"
"079-58883","Ca","Kalsium","11.04.2011 00:00",NA,1.34,"mg/l","11.04.2011"," 11.04.2011","04","2011","11"
"079-58883","Ca","Kalsium","11.04.2011 00:00",NA,1.34,"mg/l","11.04.2011"," 11.04.2011","04","2011","11"
"079-58883","SO4",NA,NA,"05.04.2022",1.38,"mg/L",NA,"05.04.2022 ","04","2022","05"
"079-58883","Ca","Kalsium","21.03.2016 00:00",NA,1.4,"mg/l","21.03.2016"," 21.03.2016","03","2016","21"
"079-58883","Ca","Kalsium","04.08.2008 00:00",NA,1.4,"mg/l","04.08.2008"," 04.08.2008","08","2008","04"
"079-58883","Cl","Klorid","03.10.2021 00:00",NA,1.4,"mg/l","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","TOC","Totalt organisk karbon (TOC)","02.03.2020 00:00",NA,1.4,"mg/l C","02.03.2020"," 02.03.2020","03","2020","02"
"079-58883","TOC","Totalt organisk karbon (TOC)","03.02.2020 00:00",NA,1.4,"mg/l C","03.02.2020"," 03.02.2020","02","2020","03"
"079-58883","TOC","Totalt organisk karbon (TOC)","06.09.2020 00:00",NA,1.4,"mg/l C","06.09.2020"," 06.09.2020","09","2020","06"
"079-58883","TOC","Totalt organisk karbon (TOC)","05.04.2021 00:00",NA,1.4,"mg/l C","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","TOC","Totalt organisk karbon (TOC)","22.02.2021 00:00",NA,1.4,"mg/l C","22.02.2021"," 22.02.2021","02","2021","22"
"079-58883","Ca",NA,NA,"01.02.2022",1.4,"mg/L",NA,"01.02.2022 ","02","2022","01"
"079-58883","Natrium",NA,NA,"05.04.2022",1.4,"mg/L",NA,"05.04.2022 ","04","2022","05"
"079-58883","Natrium",NA,NA,"08.06.2022",1.4,"mg/L",NA,"08.06.2022 ","06","2022","08"
"079-58883","TOC",NA,NA,"05.08.2022",1.4,"mg/L",NA,"05.08.2022 ","08","2022","05"
"079-58883","TOC",NA,NA,"06.12.2022",1.4,"mg/L",NA,"06.12.2022 ","12","2022","06"
"079-58883","Ca","Kalsium","04.04.2011 00:00",NA,1.42,"mg/l","04.04.2011"," 04.04.2011","04","2011","04"
"079-58883","Ca","Kalsium","04.04.2011 00:00",NA,1.42,"mg/l","04.04.2011"," 04.04.2011","04","2011","04"
"079-58883","SO4","Sulfat","22.09.2021 00:00",NA,1.45,"mg/l","22.09.2021"," 22.09.2021","09","2021","22"
"079-58883","Ca","Kalsium","17.02.2020 00:00",NA,1.5,"mg/l","17.02.2020"," 17.02.2020","02","2020","17"
"079-58883","Natrium","Natrium","05.04.2021 00:00",NA,1.5,"mg/l","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","TOC","Totalt organisk karbon (TOC)","02.05.2021 00:00",NA,1.5,"mg/l C","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","TOC","Totalt organisk karbon (TOC)","01.03.2021 00:00",NA,1.5,"mg/l C","01.03.2021"," 01.03.2021","03","2021","01"
"079-58883","Cl",NA,NA,"05.07.2022",1.5,"mg/L",NA,"05.07.2022 ","07","2022","05"
"079-58883","Cl",NA,NA,"01.11.2022",1.5,"mg/L",NA,"01.11.2022 ","11","2022","01"
"079-58883","TOC",NA,NA,"04.01.2022",1.5,"mg/L",NA,"04.01.2022 ","01","2022","04"
"079-58883","Ca","Kalsium","24.02.2020 00:00",NA,1.51,"mg/l","24.02.2020"," 24.02.2020","02","2020","24"
"079-58883","Ca","Kalsium","14.11.2012 00:00",NA,1.52,"mg/l","14.11.2012"," 14.11.2012","11","2012","14"
"079-58883","Ca","Kalsium","01.02.2016 00:00",NA,1.56,"mg/l","01.02.2016"," 01.02.2016","02","2016","01"
"079-58883","Ca","Kalsium","28.03.2016 00:00",NA,1.56,"mg/l","28.03.2016"," 28.03.2016","03","2016","28"
"079-58883","Ca","Kalsium","13.01.2020 00:00",NA,1.57,"mg/l","13.01.2020"," 13.01.2020","01","2020","13"
"079-58883","Cl","Klorid","02.05.2021 00:00",NA,1.6,"mg/l","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","TOC","Totalt organisk karbon (TOC)","25.05.2020 00:00",NA,1.6,"mg/l C","25.05.2020"," 25.05.2020","05","2020","25"
"079-58883","Ca",NA,NA,"15.02.2022",1.6,"mg/L",NA,"15.02.2022 ","02","2022","15"
"079-58883","SO4","Sulfat","05.04.2021 00:00",NA,1.69,"mg/l","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","TOC","Totalt organisk karbon (TOC)","03.10.2021 00:00",NA,1.7,"mg/l C","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","Ca",NA,NA,"29.03.2022",1.7,"mg/L",NA,"29.03.2022 ","03","2022","29"
"079-58883","Natrium",NA,NA,"06.05.2022",1.7,"mg/L",NA,"06.05.2022 ","05","2022","06"
"079-58883","Cl","Klorid","22.09.2021 00:00",NA,1.8,"mg/l","22.09.2021"," 22.09.2021","09","2021","22"
"079-58883","Ca","Kalsium","21.02.2012 00:00",NA,1.97,"mg/l","21.02.2012"," 21.02.2012","02","2012","21"
"079-58883","Cl",NA,NA,"08.06.2022",2.1,"mg/L",NA,"08.06.2022 ","06","2022","08"
"079-58883","TOC",NA,NA,"14.01.2022",2.1,"mg/L",NA,"14.01.2022 ","01","2022","14"
"079-58883","Cl",NA,NA,"05.04.2022",2.6,"mg/L",NA,"05.04.2022 ","04","2022","05"
"079-58883","Cl",NA,NA,"06.05.2022",3,"mg/L",NA,"06.05.2022 ","05","2022","06"
"079-58883","TOC","Totalt organisk karbon (TOC)","22.09.2021 00:00",NA,3.2,"mg/l C","22.09.2021"," 22.09.2021","09","2021","22"
"079-58883","Ca","Kalsium","18.10.2013 00:00",NA,12.3,"mg/l","18.10.2013"," 18.10.2013","10","2013","18"
"079-58883","Ca","Kalsium","19.09.2011 00:00",NA,12.7,"mg/l","19.09.2011"," 19.09.2011","09","2011","19"
"079-58883","Ca","Kalsium","15.10.2012 00:00",NA,19.9,"mg/l","15.10.2012"," 15.10.2012","10","2012","15"
"079-58883","N-NO3",NA,NA,"13.09.2022",24,"組/l ",NA,"13.09.2022 ","09","2022","13"
"079-58883","N-NO3",NA,NA,"06.12.2022",29,"組/l ",NA,"06.12.2022 ","12","2022","06"
"079-58883","N-NO3",NA,NA,"02.08.2022",30,"組/l ",NA,"02.08.2022 ","08","2022","02"
"079-58883","N-NO3",NA,NA,"04.10.2022",30,"組/l ",NA,"04.10.2022 ","10","2022","04"
"079-58883","N-NO3",NA,NA,"05.08.2022",43,"組/l ",NA,"05.08.2022 ","08","2022","05"
"079-58883","N-NO3",NA,NA,"05.07.2022",54,"組/l ",NA,"05.07.2022 ","07","2022","05"
"079-58883","N-NO3",NA,NA,"08.06.2022",61,"組/l ",NA,"08.06.2022 ","06","2022","08"
"079-58883","N-NO3",NA,NA,"06.05.2022",69,"組/l ",NA,"06.05.2022 ","05","2022","06"
"079-58883","N-NO3",NA,NA,"01.11.2022",97,"組/l ",NA,"01.11.2022 ","11","2022","01"
"079-58883","N-NO3",NA,NA,"05.04.2022",120,"組/l ",NA,"05.04.2022 ","04","2022","05"
"079-58883","Ca","Kalsium","25.02.2019 00:00",NA,1,"mg/l","25.02.2019"," 25.02.2019","02","2019","25"
"079-58883","Ca","Kalsium","22.09.2021 00:00",NA,1,"mg/l","22.09.2021"," 22.09.2021","09","2021","22"
"079-58883","Ca","Kalsium","18.04.2016 00:00",NA,1,"mg/l","18.04.2016"," 18.04.2016","04","2016","18"
"079-58883","Ca","Kalsium","21.02.2021 00:00",NA,1,"mg/l","21.02.2021"," 21.02.2021","02","2021","21"
"079-58883","Ca","Kalsium","21.03.2021 00:00",NA,1,"mg/l","21.03.2021"," 21.03.2021","03","2021","21"
"079-58883","Cl","Klorid","31.10.2021 00:00",NA,1,"mg/l","31.10.2021"," 31.10.2021","10","2021","31"
"079-58883","TOC","Totalt organisk karbon (TOC)","18.05.2020 00:00",NA,1,"mg/l C","18.05.2020"," 18.05.2020","05","2020","18"
"079-58883","TOC","Totalt organisk karbon (TOC)","01.06.2020 00:00",NA,1,"mg/l C","01.06.2020"," 01.06.2020","06","2020","01"
"079-58883","N-NO3","Nitrat","02.05.2021 00:00",NA,100,"組/l N","02.05.2021"," 02.05.2021","05","2021","02"
"079-58883","N-NO3","Nitrat","03.10.2021 00:00",NA,120,"組/l N","03.10.2021"," 03.10.2021","10","2021","03"
"079-58883","N-NO3","Nitrat","22.09.2021 00:00",NA,180,"組/l N","22.09.2021"," 22.09.2021","09","2021","22"
"079-58883","Cl","Klorid","05.04.2021 00:00",NA,2,"mg/l","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","N-NO3","Nitrat","05.04.2021 00:00",NA,270,"組/l N","05.04.2021"," 05.04.2021","04","2021","05"
"079-58883","N-NO3","Nitrat","06.09.2021 00:00",NA,40,"組/l N","06.09.2021"," 06.09.2021","09","2021","06"
"079-58883","N-NO3","Nitrat","02.08.2021 00:00",NA,43,"組/l N","02.08.2021"," 02.08.2021","08","2021","02"
"079-58883","N-NO3","Nitrat","05.07.2021 00:00",NA,46,"組/l N","05.07.2021"," 05.07.2021","07","2021","05"
"079-58883","N-NO3","Nitrat","05.02.2022 00:00",NA,49,"組/l N","05.02.2022"," 05.02.2022","02","2022","05"
"079-58883","N-NO3","Nitrat","06.06.2021 00:00",NA,65,"組/l N","06.06.2021"," 06.06.2021","06","2021","06"
"079-58883","N-NO3","Nitrat","31.10.2021 00:00",NA,71,"組/l N","31.10.2021"," 31.10.2021","10","2021","31"
