Vannlokalitet_kode	Vannlokalitet	Betegnelse	Type	Aktivitet_id	Aktivitet_navn	Oppdragsgiver	Oppdragstaker	Parameter_id	Parameter_navn	Parameter_Casnr	Medium_id	Medium_navn	LatinskNavn_id	VitenskapligNavn	Provetakmetode_id	Analysemetode_id	Tid_provetak	Tid_provetak2	Ovre_dyp	Nedre_dyp	DybdeEnhet	Filtrert_Prove	UnntasKlassifisering	Operator	Verdi	Listenavn	Enhet	Provenr	Deteksjonsgrense	Kvantifiseringsgrense	Opprinnelse	Ant_verdier	Kommentar	Arkiv	UTM33 Ost (X)	UTM33 Nord (Y)
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	25.11.2016 00:00		0	0	m	Ufiltrert		<	0.02		組/l					1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	07.03.2017 00:00		0	0	m	Ufiltrert		<	0.02		組/l					1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	10.04.2018 00:00		0	0	m	Ufiltrert		<	0.02		組/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	10.04.2018 00:00		0	0	m	Ufiltrert		<	0.02		組/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	01.03.2016 00:00		0	0	m	Ufiltrert		<	0.02		組/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	07.03.2017 00:00		0	0	m	Ufiltrert		<	0.02		組/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	07.03.2017 00:00		0	0	m	Ufiltrert		<	0.02		組/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	08.05.2015 00:00		0	0	m	Ufiltrert		=	0.02		組/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	01.03.2016 00:00		0	0	m	Ufiltrert		=	0.02		組/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv?king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	HG	Kvikks?lv	7439-97-6	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17852	10.04.2018 00:00		0	0	m	Ufiltrert		=	0.03		組/l					1		N	23022.8	6820695.9
