Vannlokalitet_kode	Vannlokalitet	Betegnelse	Type	Aktivitet_id	Aktivitet_navn	Oppdragsgiver	Oppdragstaker	Parameter_id	Parameter_navn	Parameter_Casnr	Medium_id	Medium_navn	LatinskNavn_id	VitenskapligNavn	Provetakmetode_id	Analysemetode_id	Tid_provetak	Tid_provetak2	Ovre_dyp	Nedre_dyp	DybdeEnhet	Filtrert_Prove	UnntasKlassifisering	Operator	Verdi	Listenavn	Enhet	Provenr	Deteksjonsgrense	Kvantifiseringsgrense	Opprinnelse	Ant_verdier	Kommentar	Arkiv	UTM33 Ost (X)	UTM33 Nord (Y)
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2017-05-09 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2015-02-12 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2015-05-08 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2016-09-29 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2016-11-25 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2017-03-07 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	21577.8	6819750.7
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2018-04-10 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2018-04-10 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2016-03-01 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2017-03-07 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2017-03-07 00:00:00		0	0	m	Ufiltrert		<	0.02		æg/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2015-05-08 00:00:00		0	0	m	Ufiltrert		=	0.02		æg/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2016-03-01 00:00:00		0	0	m	Ufiltrert		=	0.02		æg/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	HG	Kvikks?lv	7439-97-6	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17852	2018-04-10 00:00:00		0	0	m	Ufiltrert		=	0.03		æg/l					1		N	23022.8	6820695.9
079-58883	Daleelva ved utl?p		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CR	Krom	7440-47-3	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2015-02-12 00:00:00		0	0	m	Ufiltrert		=	0.03		æg/l					1		N	21577.8	6819750.7
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2018-06-15 00:00:00		0	0	m	Ufiltrert		=	0.03		æg/l					1		N	23022.8	6820695.9
079-58882	Daleelva ved Dale		Elv	DEPO	Overv†king av avrenning fra landdeponi	Nyrstar AS	Hardanger Milj?senter AS	CD	Kadmium	7440-43-9	VF	Ferskvann	0	Artsuavhengig	NS-ISO 5667-6:2014-1	NS-EN ISO 17294-2:2016	2016-09-29 00:00:00		0	0	m	Ufiltrert		=	0.03		æg/l					1		N	23022.8	6820695.9
